Object,Mass (kilograms),Carbon Dioxide,Nitrogen,Oxygen,Argon,Methane,Sodium,Hydrogen,Helium,Other
Sun,3.0E+30,0,0,0,0,0,0,71,26,3
Mercury,1000,0,0,42,0,0,22,22,6,8
Venus,4.8E+20,96,4,0,0,0,0,0,0,0
Earth,1.4E+21,0,78,21,1,0,0,0,0,0
Moon,100000,0,0,0,70,0,1,0,29,0
Mars,2.5E+16,95,2.7,0,1.6,0,0,0,0,0.7
Jupiter,1.9E+27,0,0,0,0,0,0,89.8,10.2,0
Saturn,5.4E+26,0,0,0,0,0,0,96.3,3.2,0.5
Titan,9.1E+18,0,97,0,0,2,0,0,0,1
Uranus,8.6E+25,0,0,0,0,2.3,0,82.5,15.2,0
Neptune,1.0E+26,0,0,0,0,1,0,80,19,0
Pluto,1.3E+14,8,90,0,0,2,0,0,0,0
